test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
EIF2D	EIF2D	-	chr1:206764973-206785904	undifferentiated	differentiated	OK	6.67691	4.20403	-0.667408	1.60828	0.107774	0.214409	no
EIF2S1	EIF2S1	-	chr14:67827033-67853233	undifferentiated	differentiated	OK	31.0699	17.6611	-0.814947	3.27571	0.00105396	0.00655594	yes
EIF2S2	EIF2S2	-	chr20:32676114-32700085	undifferentiated	differentiated	OK	59.4126	38.0836	-0.641598	2.80519	0.00502869	0.0214368	yes
EIF2S3	EIF2S3	-	chrX:24073064-24096927	undifferentiated	differentiated	OK	126.602	63.5547	-0.994236	4.5016	0.00000674437	0.000110058	yes
EIF3A	EIF3A	-	chr10:120794540-120840334	undifferentiated	differentiated	OK	78.9995	39.4034	-1.00352	4.56339	0.00000503334	0.0000876627	yes
EIF3B	EIF3B	-	chr7:2394473-2420377	undifferentiated	differentiated	OK	64.2404	26.6918	-1.26708	5.07996	0.000000377517	0.0000103777	yes
EIF3C	EIF3C	-	chr16:28699878-28747053	undifferentiated	differentiated	OK	91.0419	42.2076	-1.10903	4.91364	0.000000893997	0.0000213659	yes
EIF3CL	EIF3CL	-	chr16:28699878-28747053	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
EIF3D	EIF3D	-	chr22:36906896-36925277	undifferentiated	differentiated	OK	73.6541	54.4393	-0.436116	1.86299	0.0624633	0.144537	no
EIF3E	EIF3E	-	chr8:109213971-109260959	undifferentiated	differentiated	OK	258.963	155.529	-0.735565	3.32	0.000900184	0.00582686	yes
EIF3F	EIF3F	-	chr11:8008866-8017719	undifferentiated	differentiated	OK	114.089	79.6906	-0.517674	2.10169	0.0355804	0.0945809	no
EIF3G	EIF3G	-	chr19:10216898-10230599	undifferentiated	differentiated	OK	398.314	249.361	-0.675667	3.13456	0.00172111	0.0095073	yes
EIF3H	EIF3H	-	chr8:117657054-117768062	undifferentiated	differentiated	OK	151.323	97.7134	-0.631005	2.69636	0.00701013	0.0276307	yes
EIF3I	EIF3I	-	chr1:32687970-32697205	undifferentiated	differentiated	OK	162.012	102.26	-0.663865	2.87102	0.00409151	0.0182748	yes
EIF3IP1	EIF3IP1	-	chr7:109599283-109600270	undifferentiated	differentiated	NOTEST	0	0.0510086	1.79769e+308	1.79769e+308	0.194303	1	no
EIF3J	EIF3J	-	chr15:44829265-44955876	undifferentiated	differentiated	OK	13.4361	6.8812	-0.965387	2.21958	0.0264474	0.0756905	no
EIF3K	EIF3K	-	chr19:39109721-39127595	undifferentiated	differentiated	OK	107.738	78.468	-0.457356	1.73062	0.083519	0.178551	no
EIF3L	EIF3L	-	chr22:38245378-38284789	undifferentiated	differentiated	OK	153.507	115.433	-0.411256	1.89747	0.0577665	0.136077	no
EIF3M	EIF3M	-	chr11:32605312-32816187	undifferentiated	differentiated	OK	79.1754	58.7108	-0.431425	1.64432	0.10011	0.203979	no
EIF4A1	EIF4A1	-	chr17:7465308-7482324	undifferentiated	differentiated	OK	983.413	435.103	-1.17644	5.35027	0.0000000878237	0.00000299208	yes
EIF4A2	EIF4A2	-	chr3:186501360-186524484	undifferentiated	differentiated	OK	97.1133	143.218	0.560473	-2.46762	0.0136014	0.0459719	yes
EIF4A3	EIF4A3	-	chr17:78109012-78120982	undifferentiated	differentiated	OK	41.9651	22.8053	-0.879824	3.21507	0.00130413	0.0077128	yes
EIF4B	EIF4B	-	chr12:53400061-53435993	undifferentiated	differentiated	OK	304.993	203.53	-0.583529	2.7944	0.0051996	0.0219571	yes
EIF4E	EIF4E	-	chr4:99799606-99851786	undifferentiated	differentiated	OK	60.2327	32.4757	-0.891187	3.60594	0.000311021	0.00252964	yes
EIF4E1B	EIF4E1B	-	chr5:176057682-176073642	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
EIF4E2	EIF4E2	-	chr2:233415356-233433920	undifferentiated	differentiated	OK	100.096	60.3533	-0.729876	2.79483	0.00519263	0.021947	yes
EIF4E3	EIF4E3	-	chr3:71728439-71804328	undifferentiated	differentiated	OK	1.52607	2.35815	0.627838	-1.3758	0.168885	0.298402	no
EIF4EBP1	EIF4EBP1	-	chr8:37888019-37917883	undifferentiated	differentiated	OK	136.061	67.1729	-1.01831	3.87386	0.000107125	0.0010564	yes
EIF4EBP2	EIF4EBP2	-	chr10:72163860-72188374	undifferentiated	differentiated	OK	24.2069	11.7135	-1.04725	4.26901	0.0000196345	0.000267855	yes
EIF4EBP3	EIF4EBP3	-	chr5:139781398-139929163	undifferentiated	differentiated	NOTEST	0	0.107098	1.79769e+308	1.79769e+308	0.492506	1	no
EIF4ENIF1	EIF4ENIF1	-	chr22:31835344-31885874	undifferentiated	differentiated	OK	3.37347	2.28637	-0.561173	1.23017	0.218632	0.35906	no
EIF4G1	EIF4G1	-	chr3:184032282-184053146	undifferentiated	differentiated	OK	61.9614	28.9757	-1.09653	4.73609	0.00000217885	0.0000448011	yes
EIF4G2	EIF4G2	-	chr11:10818592-10830582	undifferentiated	differentiated	OK	210.629	87.3773	-1.26938	5.73869	0.00000000954093	0.000000461205	yes
EIF4G3	EIF4G3	-	chr1:21132784-21503381	undifferentiated	differentiated	OK	14.9991	8.59332	-0.803589	2.54213	0.0110178	0.0390424	yes
EIF4H	EIF4H	-	chr7:73588705-73611429	undifferentiated	differentiated	OK	203.298	106.16	-0.937359	3.95452	0.0000766869	0.000807197	yes
EIF5	EIF5	-	chr14:103800338-103811361	undifferentiated	differentiated	OK	43.2264	16.7378	-1.3688	5.5123	0.0000000354174	0.00000140464	yes
EIF5A	EIF5A	-	chr17:7210317-7215782	undifferentiated	differentiated	OK	177.268	75.2165	-1.23681	4.8768	0.00000107822	0.0000246777	yes
EIF5A2	EIF5A2	-	chr3:170606203-170626426	undifferentiated	differentiated	OK	1.16667	1.15022	-0.0204863	0.0405907	0.967622	0.983194	no
EIF5AL1	EIF5AL1	-	chr10:81272356-81276192	undifferentiated	differentiated	OK	1.28481	0.857576	-0.583225	1.12972	0.258592	0.405533	no
EIF5B	EIF5B	-	chr2:99953833-100016728	undifferentiated	differentiated	OK	9.25634	4.64243	-0.995563	3.63244	0.000280749	0.00232927	yes
EIF6	EIF6	-	chr20:33866708-33872619	undifferentiated	differentiated	OK	52.8373	28.2255	-0.904556	2.4497	0.0142974	0.0476953	yes
ELAC1	ELAC1	-	chr18:48494386-48514490	undifferentiated	differentiated	OK	2.29146	0.951666	-1.26774	2.07648	0.03785	0.0992343	no
ELAC2	ELAC2	-	chr17:12692828-12921381	undifferentiated	differentiated	OK	21.3031	9.04265	-1.23625	3.99297	0.0000652517	0.000708368	yes
ELANE	ELANE	-	chr19:852290-856246	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ELAVL1	ELAVL1	-	chr19:8023456-8070529	undifferentiated	differentiated	OK	11.0022	4.92609	-1.15928	3.93351	0.0000837126	0.000866517	yes
ELAVL2	ELAVL2	-	chr9:23690102-23826063	undifferentiated	differentiated	OK	6.93561	10.6568	0.619674	-2.04135	0.0412159	0.105722	no
ELAVL3	ELAVL3	-	chr19:11562142-11591803	undifferentiated	differentiated	OK	3.43521	4.97183	0.533377	-1.69601	0.0898839	0.188447	no
ELAVL4	ELAVL4	-	chr1:50513685-50667540	undifferentiated	differentiated	OK	55.5042	52.2739	-0.0865057	0.352159	0.724719	0.824407	no
ELF1	ELF1	-	chr13:41506054-41593508	undifferentiated	differentiated	OK	3.79944	3.35562	-0.179207	0.46758	0.640085	0.759704	no
ELF2	ELF2	-	chr4:139978870-140060606	undifferentiated	differentiated	OK	16.8724	12.3101	-0.45482	1.53153	0.125638	0.239188	no
ELF3	ELF3	-	chr1:201979689-201986315	undifferentiated	differentiated	NOTEST	0.00927825	0.0138392	0.576834	-0.119477	0.904898	1	no
ELF4	ELF4	-	chrX:129198894-129244688	undifferentiated	differentiated	OK	0.463741	0.73235	0.659215	-0.958922	0.337598	0.492387	no
ELF5	ELF5	-	chr11:34500341-34535347	undifferentiated	differentiated	NOTEST	0	0.0418587	1.79769e+308	1.79769e+308	0.176622	1	no
ELFN1	ELFN1	-	chr7:1748797-1787590	undifferentiated	differentiated	OK	0.508533	0.840848	0.725502	-1.01498	0.310115	0.463815	no
ELFN2	ELFN2	-	chr22:37763999-37823505	undifferentiated	differentiated	NOTEST	0.00231147	0.025562	3.46712	-1.32284	0.185888	1	no
ELK1	ELK1	-	chrX:47494918-47510003	undifferentiated	differentiated	OK	5.2262	2.79955	-0.900568	1.89411	0.0582107	0.136847	no
ELK2AP	ELK2AP	-	chr14:106135913-106139144	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ELK3	ELK3	-	chr12:96588206-96661606	undifferentiated	differentiated	OK	3.02497	1.96318	-0.623731	1.11934	0.262996	0.410801	no
ELK4	ELK4	-	chr1:205577070-205602000	undifferentiated	differentiated	OK	1.94917	0.937327	-1.05624	1.86662	0.0619541	0.143618	no
ELL	ELL	-	chr19:18553472-18632937	undifferentiated	differentiated	OK	1.33769	0.530662	-1.33388	2.09455	0.0362112	0.0958005	no
ELL2	ELL2	-	chr5:95220801-95297775	undifferentiated	differentiated	OK	0.930307	1.10293	0.245565	-0.506268	0.612669	0.738923	no
ELL3	ELL3	-	chr15:44038589-44094769	undifferentiated	differentiated	NOTEST	0.486239	0.385464	-0.33507	0.0795509	0.936594	1	no
ELMO1	ELMO1	-	chr7:36892510-37488895	undifferentiated	differentiated	OK	6.44781	1.24604	-2.37146	4.958	0.000000712219	0.0000175116	yes
ELMO2	ELMO2	-	chr20:44994689-45035271	undifferentiated	differentiated	OK	3.95721	2.90328	-0.446801	1.04066	0.298035	0.450234	no
ELMO3	ELMO3	-	chr16:67233027-67237927	undifferentiated	differentiated	NOTEST	0.105299	0.245545	1.2215	-0.905226	0.365346	1	no
ELMOD1	ELMOD1	-	chr11:107461816-107537505	undifferentiated	differentiated	OK	0.23007	0.678619	1.56053	-1.56904	0.116638	0.226626	no
ELMOD2	ELMOD2	-	chr4:141445311-141474924	undifferentiated	differentiated	OK	23.6106	18.4005	-0.359689	1.42548	0.154019	0.278749	no
ELMOD3	ELMOD3	-	chr2:85581842-85618875	undifferentiated	differentiated	OK	1.02693	0.955569	-0.103899	0.108588	0.913529	0.948861	no
ELN	ELN	-	chr7:73442426-73484236	undifferentiated	differentiated	OK	11.9398	3.79881	-1.65215	3.96966	0.0000719747	0.000768971	yes
ELOF1	ELOF1	-	chr19:11663857-11670051	undifferentiated	differentiated	OK	36.0069	19.4554	-0.888104	2.58536	0.00972766	0.0354311	yes
ELOVL1	ELOVL1	-	chr1:43829067-43833745	undifferentiated	differentiated	OK	15.2062	7.58805	-1.00286	2.37974	0.0173246	0.055496	no
ELOVL2	ELOVL2	-	chr6:10980992-11079377	undifferentiated	differentiated	OK	6.36951	3.48191	-0.871304	2.47093	0.0134761	0.0456501	yes
ELOVL2-AS1	ELOVL2-AS1	-	chr6:10980992-11079377	undifferentiated	differentiated	NOTEST	0.358542	0.292158	-0.295391	0.0863045	0.931224	1	no
ELOVL3	ELOVL3	-	chr10:103986142-103989344	undifferentiated	differentiated	OK	0.337753	0.56877	0.751878	-0.630051	0.528661	0.669251	no
ELOVL4	ELOVL4	-	chr6:80624528-80657315	undifferentiated	differentiated	OK	2.66375	5.02185	0.914762	-2.31978	0.0203529	0.062433	no
ELOVL5	ELOVL5	-	chr6:53132195-53213977	undifferentiated	differentiated	OK	46.2795	29.5575	-0.646849	2.13025	0.0331513	0.089725	no
ELOVL6	ELOVL6	-	chr4:110970228-111119820	undifferentiated	differentiated	OK	9.45679	6.59522	-0.51993	1.58679	0.112559	0.220843	no
ELOVL7	ELOVL7	-	chr5:60047615-60140101	undifferentiated	differentiated	OK	0.30945	1.05559	1.77027	-2.15863	0.0308786	0.0849013	no
ELP2	ELP2	-	chr18:33709836-33754688	undifferentiated	differentiated	OK	34.9082	20.9108	-0.739319	2.86982	0.00410699	0.0183312	yes
ELP3	ELP3	-	chr8:27950583-28048669	undifferentiated	differentiated	OK	27.0187	17.9269	-0.591827	2.28715	0.022187	0.0665143	no
ELP4	ELP4	-	chr11:31531296-31805329	undifferentiated	differentiated	OK	7.74822	6.01347	-0.365666	0.898945	0.368682	0.524604	no
ELP5	ELP5	-	chr17:7155371-7166512	undifferentiated	differentiated	OK	15.7761	11.8362	-0.414528	1.06537	0.28671	0.437441	no
ELP6	ELP6	-	chr3:47537129-47555199	undifferentiated	differentiated	OK	27.5789	18.1181	-0.606132	1.95269	0.0508562	0.123783	no
ELSPBP1	ELSPBP1	-	chr19:48497907-48528410	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ELTD1	ELTD1	-	chr1:79355448-79472495	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
EMB	EMB	-	chr5:49692030-49737234	undifferentiated	differentiated	OK	15.1646	10.7096	-0.501805	1.83963	0.0658219	0.150139	no
EMBP1	EMBP1	-	chr1:121260909-121313686	undifferentiated	differentiated	NOTEST	0.146685	0.273844	0.900632	-0.886761	0.375207	1	no
EMC1	EMC1	-	chr1:19542157-19578053	undifferentiated	differentiated	OK	15.8772	7.29281	-1.12241	4.03015	0.0000557402	0.000623609	yes
EMC10	EMC10	-	chr19:50970044-50986608	undifferentiated	differentiated	OK	36.1873	21.8546	-0.727548	2.55262	0.0106916	0.0381609	yes
EMC2	EMC2	-	chr8:109455852-109499136	undifferentiated	differentiated	OK	21.68	15.8971	-0.447604	1.3549	0.175451	0.306871	no
EMC3	EMC3	-	chr3:10005635-10028522	undifferentiated	differentiated	OK	32.1419	29.1736	-0.139796	0.473977	0.635517	0.755963	no
EMC4	EMC4	-	chr15:34517244-34630265	undifferentiated	differentiated	OK	130.935	85.156	-0.620675	2.33392	0.0195998	0.0606693	no
EMC6	EMC6	-	chr17:3539761-3599698	undifferentiated	differentiated	OK	17.0448	8.24134	-1.04838	1.39567	0.162814	0.290602	no
EMC7	EMC7	-	chr15:34376223-34394053	undifferentiated	differentiated	OK	23.4352	18.5521	-0.337098	0.986034	0.324116	0.477672	no
EMC8	EMC8	-	chr16:85812230-85833148	undifferentiated	differentiated	OK	8.45097	4.03507	-1.06652	2.35698	0.0184244	0.058032	no
EMC9	EMC9	-	chr14:24605377-24610797	undifferentiated	differentiated	OK	20.7381	14.1845	-0.547965	0.83259	0.405076	0.559971	no
EMCN	EMCN	-	chr4:101316497-101439250	undifferentiated	differentiated	NOTEST	0	0.0530357	1.79769e+308	1.79769e+308	0.0772576	1	no
EMCN-IT3	EMCN-IT3	-	chr4:101581435-101596270	undifferentiated	differentiated	NOTEST	0	0.0214834	1.79769e+308	1.79769e+308	0.264755	1	no
EMD	EMD	-	chrX:153607596-153609883	undifferentiated	differentiated	OK	11.4668	9.22231	-0.314258	0.779119	0.43591	0.588843	no
EME1	EME1	-	chr17:48450580-48474914	undifferentiated	differentiated	OK	16.9418	7.52572	-1.17068	2.20186	0.0276751	0.0782083	no
EME2	EME2	-	chr16:1823228-1826239	undifferentiated	differentiated	NOTEST	0.193667	0.173782	-0.156296	0.0939948	0.925113	1	no
EMG1	EMG1	-	chr12:7079943-7085165	undifferentiated	differentiated	OK	24.2491	14.0957	-0.782672	2.16169	0.0306419	0.0846137	no
EMID1	EMID1	-	chr22:29601900-29655586	undifferentiated	differentiated	OK	0.558343	0.456374	-0.290934	0.233563	0.815324	0.885711	no
EMID2	EMID2	-	chr7:101006121-101202304	undifferentiated	differentiated	OK	0.238979	1.17875	2.30231	-2.68816	0.00718459	0.0281624	yes
EMILIN1	EMILIN1	-	chr2:27301434-27309265	undifferentiated	differentiated	OK	28.5853	11.4603	-1.31863	4.86886	0.00000112243	0.0000256298	yes
EMILIN2	EMILIN2	-	chr18:2847027-2914090	undifferentiated	differentiated	NOTEST	0.161309	0.142215	-0.181754	0.182929	0.854854	1	no
EMILIN3	EMILIN3	-	chr20:39969559-39995498	undifferentiated	differentiated	NOTEST	0.224771	0.16462	-0.449315	0.449896	0.652785	1	no
EML1	EML1	-	chr14:100259744-100408395	undifferentiated	differentiated	OK	7.94274	5.16011	-0.622234	1.94737	0.05149	0.124733	no
EML2	EML2	-	chr19:46112657-46148775	undifferentiated	differentiated	OK	1.60087	3.9455	1.30135	-2.29652	0.021646	0.0653358	no
EML3	EML3	-	chr11:62369690-62382592	undifferentiated	differentiated	OK	2.12755	1.45362	-0.549541	0.942867	0.345749	0.501307	no
EML4	EML4	-	chr2:42396489-42559688	undifferentiated	differentiated	OK	55.0057	28.9926	-0.923898	4.04831	0.000051589	0.00058847	yes
EML5	EML5	-	chr14:89081173-89259096	undifferentiated	differentiated	OK	27.1271	10.0459	-1.43313	5.81315	0.00000000613076	0.00000030798	yes
EML6	EML6	-	chr2:54952148-55199156	undifferentiated	differentiated	OK	4.51916	2.25055	-1.00577	3.19258	0.00141009	0.00820685	yes
EMP1	EMP1	-	chr12:13349601-13369708	undifferentiated	differentiated	NOTEST	0.00714247	0.0397849	2.47773	-0.913532	0.360963	1	no
EMP2	EMP2	-	chr16:10622278-10674539	undifferentiated	differentiated	OK	6.36877	3.19609	-0.994709	3.21409	0.00130857	0.00773194	yes
EMP3	EMP3	-	chr19:48828628-48833810	undifferentiated	differentiated	NOTEST	0.178781	0.219906	0.298696	-0.151585	0.879514	1	no
EMR1	EMR1	-	chr19:6887559-6940464	undifferentiated	differentiated	NOTEST	0	0.0115739	1.79769e+308	1.79769e+308	0.284472	1	no
EMR2	EMR2	-	chr19:14843508-14889353	undifferentiated	differentiated	NOTEST	0.0105869	0.0533744	2.33387	-0.899749	0.368254	1	no
EMR3	EMR3	-	chr19:14730050-14785730	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
EMR4P	EMR4P	-	chr19:6952510-6990857	undifferentiated	differentiated	NOTEST	0	0.0397671	1.79769e+308	1.79769e+308	0.126684	1	no
EMX1	EMX1	-	chr2:73144603-73162020	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
EMX2	EMX2	-	chr10:119243803-119309057	undifferentiated	differentiated	NOTEST	0	0.0216475	1.79769e+308	1.79769e+308	0.235276	1	no
EMX2OS	EMX2OS	-	chr10:119243803-119309057	undifferentiated	differentiated	NOTEST	0	0.0261548	1.79769e+308	1.79769e+308	0.0749024	1	no
EN1	EN1	-	chr2:119599746-119605759	undifferentiated	differentiated	NOTEST	0	0.00378114	1.79769e+308	1.79769e+308	0.264755	1	no
EN2	EN2	-	chr7:155250823-155257526	undifferentiated	differentiated	NOTEST	0	0.0290313	1.79769e+308	1.79769e+308	0.134891	1	no
ENAH	ENAH	-	chr1:225674533-225840845	undifferentiated	differentiated	OK	32.4458	15.8757	-1.03121	4.35211	0.0000134833	0.000194551	yes
ENAM	ENAM	-	chr4:71494460-71512536	undifferentiated	differentiated	NOTEST	0	0.0824656	1.79769e+308	1.79769e+308	0.0303754	1	no
ENC1	ENC1	-	chr5:73923230-73937249	undifferentiated	differentiated	OK	7.26707	6.85324	-0.084588	0.289941	0.771862	0.855102	no
ENDOD1	ENDOD1	-	chr11:94822973-94865815	undifferentiated	differentiated	OK	4.10644	4.95189	0.270091	-0.863699	0.387753	0.543116	no
ENDOG	ENDOG	-	chr9:131580778-131592100	undifferentiated	differentiated	OK	4.60384	1.99186	-1.20872	1.13248	0.257434	0.404117	no
ENDOU	ENDOU	-	chr12:48103517-48119355	undifferentiated	differentiated	NOTEST	0.00691624	0.0350536	2.3415	-0.547841	0.583801	1	no
ENDOV	ENDOV	-	chr17:78234659-78411884	undifferentiated	differentiated	OK	7.0524	6.98164	-0.0145495	0.0197833	0.984216	0.990868	no
ENG	ENG	-	chr9:130577290-130617047	undifferentiated	differentiated	NOTEST	0.445438	0.185658	-1.26258	1.17525	0.239895	1	no
ENGASE	ENGASE	-	chr17:77071018-77084685	undifferentiated	differentiated	OK	1.3602	0.747462	-0.863743	1.52201	0.128006	0.242423	no
ENHO	ENHO	-	chr9:34521039-34523037	undifferentiated	differentiated	OK	0.763775	0.632836	-0.271317	0.24725	0.804715	0.878357	no
ENKUR	ENKUR	-	chr10:25270907-25351208	undifferentiated	differentiated	NOTEST	0.188223	0.22956	0.286427	-0.089515	0.928673	1	no
ENO1	ENO1	-	chr1:8921058-8939943	undifferentiated	differentiated	OK	986.5	357.674	-1.46367	6.66304	0.0000000000268225	0.00000000296204	yes
ENO1-AS1	ENO1-AS1	-	chr1:8921058-8939943	undifferentiated	differentiated	NOTEST	0.341991	0	-1.79769e+308	-1.79769e+308	0.472925	1	no
ENO2	ENO2	-	chr12:7023613-7032859	undifferentiated	differentiated	OK	27.176	33.1105	0.284959	-1.12271	0.26156	0.408874	no
ENO3	ENO3	-	chr17:4854383-4860426	undifferentiated	differentiated	OK	4.37267	5.27976	0.271958	-0.5474	0.584104	0.716016	no
ENO4	ENO4	-	chr10:118609022-118642112	undifferentiated	differentiated	NOTEST	0.0813946	0.119912	0.558971	-0.385849	0.699608	1	no
ENOPH1	ENOPH1	-	chr4:83351725-83382244	undifferentiated	differentiated	OK	37.7759	22.5602	-0.74369	2.7739	0.00553887	0.0229993	yes
ENOSF1	ENOSF1	-	chr18:596997-712662	undifferentiated	differentiated	OK	3.79609	1.36871	-1.4717	2.82162	0.00477823	0.0206161	yes
ENOX1	ENOX1	-	chr13:43787665-44361116	undifferentiated	differentiated	OK	1.91006	2.13625	0.161457	-0.294273	0.768549	0.853351	no
ENOX2	ENOX2	-	chrX:129757356-130037208	undifferentiated	differentiated	OK	4.23208	2.04435	-1.04972	2.43669	0.0148226	0.0491019	yes
ENPEP	ENPEP	-	chr4:111397228-111484493	undifferentiated	differentiated	NOTEST	0.00417136	0.00282376	-0.562903	0.168213	0.866416	1	no
ENPP1	ENPP1	-	chr6:132129155-132216295	undifferentiated	differentiated	NOTEST	0	0.0226606	1.79769e+308	1.79769e+308	0.0926431	1	no
ENPP2	ENPP2	-	chr8:120569316-120651106	undifferentiated	differentiated	NOTEST	0.248924	0.0840464	-1.56645	1.10013	0.271275	1	no
ENPP3	ENPP3	-	chr6:131958441-132068550	undifferentiated	differentiated	NOTEST	0.00684831	0.0046941	-0.544899	0.126153	0.899611	1	no
ENPP4	ENPP4	-	chr6:46097700-46114436	undifferentiated	differentiated	NOTEST	0	0.0373242	1.79769e+308	1.79769e+308	0.119024	1	no
ENPP5	ENPP5	-	chr6:46127761-46138717	undifferentiated	differentiated	NOTEST	0	0.0265061	1.79769e+308	1.79769e+308	0.175641	1	no
ENPP6	ENPP6	-	chr4:185009858-185139114	undifferentiated	differentiated	OK	0.335719	0.48088	0.518421	-0.670414	0.502594	0.646409	no
ENPP7	ENPP7	-	chr17:77704881-77716021	undifferentiated	differentiated	NOTEST	0	0	0	0	1	1	no
ENSA	ENSA	-	chr1:150594598-150602098	undifferentiated	differentiated	OK	112.613	48.5621	-1.21347	3.7302	0.000191325	0.00168677	yes
ENTHD1	ENTHD1	-	chr22:40139048-40289794	undifferentiated	differentiated	NOTEST	0	0.033622	1.79769e+308	1.79769e+308	0.121896	1	no
ENTHD2	ENTHD2	-	chr17:79202076-79212891	undifferentiated	differentiated	OK	0.986882	0.926344	-0.0913295	0.119521	0.904863	0.942895	no
ENTPD1	ENTPD1	-	chr10:97471535-97849992	undifferentiated	differentiated	OK	5.58591	2.34112	-1.25459	3.87234	0.000107794	0.00106218	yes
ENTPD2	ENTPD2	-	chr9:139942550-139948503	undifferentiated	differentiated	NOTEST	0	0.04454	1.79769e+308	1.79769e+308	0.211713	1	no
ENTPD3	ENTPD3	-	chr3:40428672-40494799	undifferentiated	differentiated	NOTEST	0.0315214	0.040455	0.359986	-0.125494	0.900133	1	no
ENTPD3-AS1	ENTPD3-AS1	-	chr3:40428672-40494799	undifferentiated	differentiated	NOTEST	0.241505	0.304295	0.333415	-0.283861	0.776517	1	no
ENTPD4	ENTPD4	-	chr8:23286664-23315244	undifferentiated	differentiated	OK	9.12517	5.98989	-0.607322	2.04575	0.0407807	0.104778	no
ENTPD5	ENTPD5	-	chr14:74433180-74486026	undifferentiated	differentiated	OK	1.35392	1.08313	-0.321943	0.492538	0.622339	0.745829	no
ENTPD6	ENTPD6	-	chr20:25176338-25207360	undifferentiated	differentiated	OK	4.10759	1.91906	-1.0979	2.25623	0.024056	0.0705828	no
ENTPD7	ENTPD7	-	chr10:101419262-101515894	undifferentiated	differentiated	OK	3.16668	1.73657	-0.866729	1.63028	0.103043	0.2081	no
ENTPD8	ENTPD8	-	chr9:140317846-140335901	undifferentiated	differentiated	NOTEST	0.0143299	0.0626502	2.12829	-0.637915	0.523529	1	no
ENY2	ENY2	-	chr8:110346551-110358189	undifferentiated	differentiated	OK	39.7939	24.0401	-0.727106	2.67768	0.00741339	0.0288211	yes
EOGT	EOGT	-	chr3:69024367-69062774	undifferentiated	differentiated	OK	2.27153	1.52541	-0.574465	1.21544	0.224198	0.365485	no
EOMES	EOMES	-	chr3:27757885-27763785	undifferentiated	differentiated	NOTEST	0.0214914	0	-1.79769e+308	-1.79769e+308	0.234556	1	no
EP300	EP300	-	chr22:41488613-41576081	undifferentiated	differentiated	OK	1.90694	1.35375	-0.494293	1.41608	0.156752	0.28222	no
EP400	EP400	-	chr12:132434464-132565011	undifferentiated	differentiated	OK	2.09028	1.24175	-0.751318	2.24153	0.0249916	0.0725452	no
EP400NL	EP400NL	-	chr12:132568827-132610885	undifferentiated	differentiated	OK	0.611218	0.318598	-0.939947	0.915273	0.360048	0.516372	no
EPAS1	EPAS1	-	chr2:46524540-46613842	undifferentiated	differentiated	OK	6.8593	10.2849	0.584397	-2.15989	0.0307809	0.0847783	no
EPB41	EPB41	-	chr1:29213602-29450421	undifferentiated	differentiated	OK	32.3832	10.5217	-1.62188	5.55706	0.0000000274354	0.00000112643	yes
EPB41L1	EPB41L1	-	chr20:34679425-34820721	undifferentiated	differentiated	OK	1.04691	1.53768	0.554618	-1.17656	0.239372	0.383822	no
EPB41L2	EPB41L2	-	chr6:131160487-131384462	undifferentiated	differentiated	NOTEST	0.0127538	0.0141225	0.147063	-0.0450713	0.964051	1	no
EPB41L3	EPB41L3	-	chr18:5392387-5543986	undifferentiated	differentiated	NOTEST	0.00393012	0.0255125	2.69856	-1.00557	0.314621	1	no
EPB41L4A	EPB41L4A	-	chr5:111498314-111755010	undifferentiated	differentiated	OK	2.63394	3.31577	0.33212	-0.943513	0.345419	0.500941	no
EPB41L4A-AS1	EPB41L4A-AS1	-	chr5:111496222-111498198	undifferentiated	differentiated	OK	18.5126	12.8558	-0.526091	1.37518	0.169076	0.298658	no
EPB41L4B	EPB41L4B	-	chr9:111934253-112083021	undifferentiated	differentiated	OK	1.55586	3.2774	1.07484	-2.28105	0.0225454	0.0671715	no
EPB41L5	EPB41L5	-	chr2:120770603-120936697	undifferentiated	differentiated	OK	11.7862	4.91611	-1.26151	3.78825	0.000151713	0.00139742	yes
EPB42	EPB42	-	chr15:43489425-43513323	undifferentiated	differentiated	NOTEST	0	0.00447633	1.79769e+308	1.79769e+308	0.367636	1	no
EPB49	EPB49	-	chr8:21911080-21940036	undifferentiated	differentiated	OK	1.13138	1.25704	0.151954	-0.195292	0.845164	0.904323	no
EPC1	EPC1	-	chr10:32557858-32636113	undifferentiated	differentiated	OK	4.57505	2.89788	-0.65879	1.59896	0.109831	0.216962	no
EPC2	EPC2	-	chr2:149402559-149545136	undifferentiated	differentiated	OK	17.8389	8.57958	-1.05604	3.77304	0.000161267	0.00146617	yes
EPCAM	EPCAM	-	chr2:47596286-47614167	undifferentiated	differentiated	OK	0.474687	0.864489	0.864872	-0.934407	0.350094	0.505717	no
EPDR1	EPDR1	-	chr7:37960162-37991542	undifferentiated	differentiated	OK	18.698	7.31288	-1.35437	3.59876	0.000319742	0.00258589	yes
